"","species","temp","injury_level","recov","replicate","TRT","Lactic_acid","Alanine","Valine","Leucine","Phosphoric_acid","Glycerol","Isoleucine","Proline","Glycine","Succinic_acid","Fumaric_acid","Pipecolic_acid","Serine","Threonine","Malic_acid","Methionine","Aspartate","GABA","Glutamate","Phenylalanine","Asparagine","Putrescine","Ornithine","Citric_acid","Fructose","Glucose","Lysine","Tyrosine","Mannitol","Inositol","Sucrose","Trehalose"
"114","RP",20,"C","D",3,"C_D",0.851055694,4.225270871,1.214240152,0.959121239,11.75375697,0.335170839,0.898197992,2.760941645,0.668651985,0.786032184,0.953940709,0.354722063,1.226954928,1.189564168,1.102872249,0.807376321,1.131935047,1.476477335,4.688803096,1.075200732,7.07682679,0.456919098,1.063958205,1.092671807,0.528101372,27.41422364,5.679903883,4.172868835,1.453281367,1.25827842,0.549734912,38.90368177
"115","RP",20,"C","D",4,"C_D",0.07790841,3.318164004,0.864010677,0.548543625,13.74866586,0.2603164615,0.693363111,2.068150361,0.996095195,0.30709103,0.112911515,0.139579453,1.195271305,1.278045412,0.515786066,0.358191504,0.762643319,1.417851106,5.800285045,0.489252677,5.245108415,0.25925584,0.182625127,0.779126021,0.195423301,43.39154032,4.797603108,17.34347021,0.447586741,0.939203152,0.201518821,52.61290943
"116","RP",20,"C","D",5,"C_D",0.408384775,4.085586749,0.942537389,0.863081677,9.19855697,0.188643083,0.718177589,1.7848761,0.492977394,0.519188718,0.325139844,0.248433697,0.79420888,1.202933339,0.732616,0.467669027,0.673074872,0.932310138,3.898189499,0.64384694,5.40441795,0.45690129,0.540805838,0.737105814,0.359803792,20.69571605,3.008584785,2.950509879,0.9093848,0.667107453,0.466042407,31.41689956
"117","RP",20,"C","D",6,"C_D",0.216842214,2.273968658,0.9771891,0.676532659,13.34355675,0.2603164615,0.66673592,1.705235114,0.667072432,0.437612306,0.102526155,0.230904295,0.798926334,0.888146993,0.46111104,0.159253752,0.963014059,1.201014906,6.150941086,0.407918572,5.43754668,0.305540547,0.231279262,0.779450087,0.225996151,36.80837616,3.31958133,8.702512976,0.736328504,0.505509272,0.069590968,35.56000724
"118","RP",20,"C","D",7,"C_D",0.25140976,3.981782681,1.356686749,0.985698315,15.64436879,0.2603164615,1.027687104,2.546314323,0.528112567,0.410352127,0.094388065,0.38796777,1.26895539,1.010532396,0.674038437,0.188779546,1.55526384,1.410552724,8.268995431,0.579578488,4.659405668,0.451033628,0.260536772,1.137255513,0.356599428,25.42896082,1.836951278,7.050792228,0.411953387,0.965200551,0.175858505,42.03307922
"119","RP",20,"C","D",8,"C_D",0.784272852,3.652725034,0.934116005,0.726696705,16.24815064,0.2603164615,0.700289057,1.941650896,0.794606058,0.354509673,0.208135272,0.136327079,1.225877343,1.206983098,0.651325466,0.483532684,1.325864938,1.747665634,7.040601323,0.562333959,6.113351304,0.386032947,0.296664327,0.974010805,0.484157809,40.94012145,5.222614255,16.65765179,0.755485422,1.023403007,0.210445923,46.5016188
"120","RP",-5,"L","D",1,"L_D",0.66265062,7.45963918,1.241254699,0.995243295,12.94218312,0.304809384,0.762429446,3.737825698,0.961458507,0.563383988,0.298273995,0.200847633,1.633891323,0.844202165,1.037993806,0.445971767,0.375928189,1.507155534,5.48824965,0.670336587,8.494110087,0.433268914,0.521096396,0.844233164,1.000086753,32.92837305,5.494594712,5.242956685,2.438149844,0.928931597,0.318019779,31.34512972
"121","RP",-5,"L","D",2,"L_D",1.105013148,7.275488337,1.810890728,1.34214428,14.59353434,0.554939163,1.102132802,3.815699001,1.537899415,1.226374286,1.030018858,0.422196138,2.219547786,1.309830266,1.358866682,0.815146855,0.766927888,1.300410896,5.611350992,1.226759758,9.867560095,0.670231175,1.208584615,1.177642701,1.237743287,45.15834217,7.739717461,6.222478352,3.821931014,1.379650499,0.571268699,43.96428051
"122","RP",-5,"L","D",3,"L_D",0.910751811,6.571837734,1.404023945,1.025332559,10.51973256,0.402529545,0.740982503,3.339338602,1.173870307,0.680100654,0.756873035,0.290409813,1.679549178,1.028246464,1.032785116,0.681289051,0.495752011,1.039555902,4.438226457,0.95265485,7.476831884,0.569098014,0.937531233,0.968566928,0.856867893,40.77624565,7.310014208,4.890186337,1.578227968,0.912462189,0.419121341,33.65849851
"123","RP",-5,"L","D",4,"L_D",0.407191964,5.301358434,1.298439283,0.954066075,13.80839573,0.39198186525,0.965324097,2.720875476,0.93268842,0.614804717,0.237873728,0.169087346,1.564382125,0.934373265,0.996695134,0.241803205,0.644722987,1.271796383,7.09077697,0.566983594,4.863206027,0.593207853,0.39815911,1.04166569,0.477560863,81.32970939,7.04556044,14.96347888,2.302851491,0.929540188,0.193524008,41.43513638
